Order_ID,Region,Product,Demand,Inventory,Lead_Time,Transport_Cost,Warehouse_Capacity,Warehouse_Utilization,On_Time_Delivery
53,West,Apparel,306,494,14,4184,790,54,0
54,West,Electronics,121,243,2,3831,1887,70,1
55,North,Electronics,270,354,6,1496,1519,98,0
56,West,Apparel,84,120,9,2427,1781,60,1
57,North,Electronics,185,287,13,951,1773,65,0
58,South,Grocery,458,528,9,4204,929,64,1
59,North,Apparel,482,357,8,3090,1749,69,1
60,North,Electronics,292,56,10,374,1299,88,1
61,East,Grocery,262,176,1,756,1662,62,0
62,West,Grocery,422,271,7,4776,1932,76,1
63,South,Electronics,466,477,13,623,1549,97,0
64,North,Electronics,439,496,6,2380,1691,42,1
65,North,Grocery,245,363,5,3470,1197,58,1
66,North,Grocery,494,168,11,834,1211,46,0
67,West,Electronics,499,559,5,3118,1033,89,1
68,West,Grocery,415,351,13,1193,1626,44,0
69,East,Electronics,341,562,12,2149,1325,71,0
70,South,Grocery,324,260,10,1648,946,92,1
71,West,Grocery,216,224,3,2291,1278,58,1
72,North,Grocery,319,399,1,850,831,51,0
73,South,Apparel,337,242,10,1276,1686,54,1
74,West,Apparel,460,250,12,4801,1466,77,0
75,West,Electronics,378,563,6,1253,723,44,1
76,North,Grocery,121,466,1,371,500,59,1
77,West,Electronics,260,433,14,4314,1642,84,0
78,North,Grocery,320,527,3,1856,1352,69,1
79,South,Grocery,167,578,2,2527,788,71,0
80,North,Electronics,125,596,6,3138,1578,65,1
81,West,Grocery,200,114,5,958,1724,55,1
82,South,Grocery,431,320,9,2469,1511,66,1
83,West,Apparel,197,401,10,3812,520,91,1
84,West,Apparel,221,372,13,3428,1196,98,0
85,West,Apparel,445,596,14,4357,1652,82,0
86,South,Apparel,377,587,1,4060,1911,86,1
87,West,Grocery,122,496,4,4709,1426,62,1
88,West,Electronics,439,52,14,4765,900,63,0
89,North,Grocery,79,593,3,1794,738,58,0
90,West,Grocery,431,228,13,666,1996,70,0
91,South,Electronics,345,185,3,1946,809,96,1
92,West,Grocery,370,222,10,2667,1498,42,1
93,East,Electronics,329,192,5,4152,874,96,1
94,South,Electronics,276,286,3,2422,1280,90,1
95,South,Grocery,289,414,4,350,1728,57,0
96,South,Grocery,407,161,12,792,1622,84,0
97,South,Apparel,247,574,4,1842,1178,87,0
98,South,Electronics,147,583,9,3772,1457,75,1
99,West,Electronics,60,336,5,3703,1004,55,1
100,West,Apparel,81,142,5,2926,1236,70,1
101,East,Grocery,417,557,5,1566,1212,95,1
102,West,Apparel,272,276,13,565,618,54,0
103,East,Grocery,352,413,5,2291,833,83,0
104,East,Electronics,161,597,4,4885,1350,94,1
105,South,Electronics,208,372,3,2397,632,97,1
106,West,Electronics,463,558,1,4454,1164,96,1
107,West,Electronics,396,401,11,474,1201,68,0
108,West,Apparel,462,128,4,4276,1002,84,1
109,East,Grocery,467,434,10,2514,510,67,0
110,West,Grocery,267,425,14,3180,1462,97,0
111,North,Apparel,406,535,4,2206,1363,48,0
112,North,Apparel,414,100,11,2434,1529,45,0
113,South,Grocery,154,484,8,2718,1940,61,1
114,West,Grocery,365,107,10,1160,1844,66,0
115,South,Apparel,91,264,7,4950,1857,91,1
116,South,Electronics,413,544,4,2411,1452,75,1
117,North,Apparel,140,286,8,4665,861,76,0
118,West,Electronics,56,574,4,3653,1806,59,1
119,East,Grocery,207,567,9,919,561,71,1
120,East,Grocery,164,184,1,1876,1759,43,1
121,North,Electronics,57,490,10,4519,636,42,1
122,North,Grocery,150,332,12,798,739,59,0
123,South,Grocery,342,359,3,4693,1596,83,0
124,North,Electronics,253,380,4,4825,1603,75,1
125,West,Apparel,285,82,12,602,1082,99,0
126,West,Apparel,187,204,7,1884,1758,98,0
127,West,Electronics,71,467,12,1536,1531,63,0
128,North,Apparel,299,469,11,2789,805,55,0
129,North,Grocery,189,550,12,3585,1046,46,0
130,West,Apparel,78,267,3,1570,1813,48,1
131,North,Grocery,350,589,3,2216,1287,46,0
132,East,Apparel,185,198,2,3043,1707,88,1
133,East,Electronics,129,442,13,1098,1385,62,0
134,East,Grocery,115,502,1,1972,891,72,1
135,West,Grocery,425,85,12,1543,1672,47,0
136,West,Grocery,487,133,2,3419,1346,45,1
137,West,Electronics,285,141,7,946,741,86,1
138,South,Electronics,396,585,3,4316,593,47,1
139,East,Apparel,356,574,7,1420,1182,50,0
140,West,Grocery,268,47,4,4655,1340,78,0
141,West,Apparel,220,286,10,4853,1529,72,0
142,South,Grocery,467,561,1,3226,1516,86,1
143,North,Apparel,474,214,4,4314,612,70,1
144,North,Apparel,263,135,7,678,1421,67,1
145,West,Electronics,109,255,1,975,728,56,1
146,South,Grocery,348,436,5,3260,1636,94,0
147,North,Electronics,113,230,9,2322,569,92,1
148,East,Electronics,205,209,4,2086,745,97,1
149,East,Grocery,306,350,9,3016,1199,63,0
150,South,Electronics,132,90,5,2270,1028,59,1
151,East,Grocery,384,272,9,4826,743,73,1
152,South,Apparel,320,425,11,1386,1344,86,0
153,North,Grocery,125,419,10,4015,587,90,0
154,West,Electronics,238,338,10,207,807,74,1
155,West,Electronics,131,521,8,294,803,67,1
156,South,Apparel,158,402,2,1387,1284,61,1
157,East,Grocery,418,507,6,4772,1561,71,0
158,West,Apparel,156,308,6,2883,1585,75,0
159,South,Grocery,60,386,8,356,1918,62,1
160,North,Grocery,309,263,8,539,1164,67,1
161,North,Grocery,347,61,7,2617,797,83,0
162,South,Apparel,292,537,6,2469,631,82,1
163,South,Electronics,159,255,12,1755,905,91,0
164,South,Electronics,168,170,1,4319,1743,83,0
165,East,Grocery,322,200,6,1677,1707,78,1
166,North,Apparel,57,319,8,4769,763,84,1
167,North,Apparel,149,580,13,787,1152,96,0
168,East,Electronics,112,400,5,4455,1479,62,1
169,East,Grocery,171,219,4,1614,834,96,0
170,East,Electronics,70,535,14,496,743,53,0
171,North,Electronics,465,150,2,2011,1866,77,1
172,East,Electronics,54,487,9,1037,1619,53,1
173,North,Grocery,154,556,7,2487,628,64,0
174,East,Apparel,264,392,8,4133,656,71,1
175,West,Apparel,379,317,10,2995,1748,75,1
176,East,Grocery,239,458,4,1274,1996,80,1
177,East,Apparel,326,135,12,2428,1049,91,0
178,North,Electronics,127,245,6,4854,1800,45,1
179,South,Apparel,222,232,13,3703,1613,58,0
180,South,Grocery,373,244,2,606,1214,85,1
181,East,Grocery,245,136,4,4881,769,57,1
182,East,Apparel,482,306,3,1506,569,81,1
183,South,Electronics,374,564,5,4635,732,59,1
184,South,Apparel,373,588,9,957,1948,60,0
185,West,Grocery,194,83,7,2462,1986,82,1
186,South,Electronics,419,124,2,4811,1500,62,1
187,East,Grocery,158,465,5,1351,1216,99,0
188,North,Grocery,185,113,1,1958,631,54,1
189,South,Apparel,457,333,4,3042,767,62,1
190,North,Grocery,425,118,9,3023,1415,96,0
191,North,Apparel,320,248,5,4008,1621,66,1
192,East,Grocery,357,364,10,2555,1595,59,0
193,West,Apparel,462,84,1,552,657,73,1
194,South,Electronics,324,413,4,2498,628,72,1
195,South,Electronics,480,76,14,361,1321,96,0
196,West,Apparel,286,528,3,4011,576,61,0
197,South,Electronics,150,289,1,1917,1504,94,1
198,North,Apparel,488,64,1,2144,1493,75,0
199,West,Apparel,254,50,12,1864,1792,75,0
200,North,Grocery,498,46,10,1421,757,58,1
201,South,Electronics,169,136,7,4060,797,49,1
202,West,Electronics,353,559,11,2847,1813,91,0
203,East,Apparel,489,185,2,753,1381,67,0
204,North,Grocery,307,445,11,2050,1860,89,0
205,South,Apparel,441,80,12,2661,780,94,0
206,South,Electronics,60,305,1,4059,524,53,1
207,South,Electronics,194,277,6,2095,1715,89,1
208,East,Apparel,371,473,11,935,787,69,0
209,West,Grocery,71,64,4,4916,1705,94,1
210,North,Grocery,426,443,4,2922,1254,84,1
211,North,Electronics,488,500,11,4108,1721,96,0
212,West,Electronics,491,511,11,4981,1025,95,0
213,West,Grocery,268,234,12,617,583,92,0
214,West,Grocery,183,233,11,2970,796,61,0
215,South,Apparel,473,65,3,1099,1717,83,1
216,North,Electronics,127,419,1,3162,1017,74,1
217,North,Apparel,235,122,6,4749,877,46,1
218,South,Grocery,228,331,3,4820,514,82,1
219,North,Grocery,459,268,7,4172,1954,57,1
220,West,Grocery,469,52,7,1754,919,58,0
221,South,Apparel,438,352,8,2431,1464,42,1
222,East,Grocery,303,366,7,4535,646,66,1
223,South,Apparel,121,509,14,1758,1423,48,0
224,East,Electronics,150,268,10,4837,647,69,1
225,West,Apparel,339,204,10,1326,1511,46,0
226,West,Grocery,304,211,1,3364,576,74,1
227,West,Electronics,189,264,7,2837,988,63,1
228,East,Grocery,295,261,10,4103,1113,86,1
229,West,Apparel,153,196,2,4856,1553,55,1
230,North,Electronics,323,330,14,4906,1484,44,0
231,North,Electronics,58,307,4,3325,1805,95,1
232,South,Grocery,411,521,12,4637,1938,74,0
233,West,Electronics,131,585,8,4323,1740,50,0
234,South,Electronics,191,325,2,1206,705,60,1
235,North,Electronics,433,135,8,2991,1501,67,1
236,South,Apparel,191,211,7,4245,1351,58,1
237,West,Apparel,222,107,10,3808,1691,79,1
238,West,Apparel,84,419,10,255,1297,44,0
239,South,Grocery,56,303,3,1450,1897,84,0
240,South,Grocery,342,44,9,2692,816,92,1
241,North,Electronics,277,539,12,3492,502,98,0
242,North,Apparel,292,325,10,3226,829,93,0
243,West,Grocery,60,321,1,3884,1615,69,1
244,East,Electronics,250,139,3,2384,1996,58,1
245,South,Electronics,323,347,9,2943,688,65,0
246,South,Apparel,111,277,2,2144,897,77,1
247,East,Apparel,295,534,10,1581,1161,78,0
248,North,Apparel,271,558,1,4915,1391,80,0
249,East,Grocery,60,242,12,4577,1693,73,0
250,West,Electronics,208,438,14,2278,579,42,0
251,North,Grocery,270,503,9,2663,1382,73,1
252,West,Grocery,406,273,3,1112,1617,95,1
253,East,Apparel,170,165,13,1809,1731,40,0
254,East,Electronics,382,496,8,2640,810,90,1
255,South,Electronics,195,577,5,523,1809,45,1
256,South,Electronics,155,147,13,2961,1748,87,0
257,South,Apparel,328,194,5,2566,646,48,1
258,South,Electronics,401,275,11,1665,1054,94,0
259,West,Apparel,330,299,7,2783,1453,65,0
260,South,Grocery,402,129,14,1481,555,65,0
261,West,Apparel,248,276,6,4743,1160,47,1
262,East,Grocery,332,33,6,2887,1905,60,0
263,North,Electronics,113,50,6,3061,1499,79,1
264,North,Grocery,69,459,13,4866,507,75,0
265,South,Electronics,475,41,13,3854,1793,43,0
266,South,Grocery,490,104,3,4064,1262,84,1
267,East,Grocery,297,98,9,3795,742,46,0
268,South,Grocery,399,577,7,4716,1167,66,0
269,South,Electronics,112,388,3,2851,1486,55,1
270,West,Apparel,112,290,14,3800,870,92,0
271,West,Apparel,81,428,12,2012,881,41,0
272,East,Apparel,185,559,13,2182,1133,94,0
273,North,Electronics,124,507,8,2194,1332,79,1
274,South,Electronics,458,82,4,980,1372,94,1
275,East,Grocery,376,365,3,3816,1801,46,1
276,East,Grocery,69,187,12,4303,978,71,0
277,East,Electronics,451,350,3,3399,1489,76,1
278,North,Electronics,449,537,5,3375,1828,98,1
279,East,Grocery,195,412,3,4444,1001,84,1
280,West,Apparel,130,223,13,4287,1710,53,0
281,North,Apparel,245,490,4,2359,1564,99,1
282,North,Grocery,479,391,13,648,1778,64,0
283,West,Grocery,137,236,6,2029,1767,40,1
284,South,Apparel,236,226,3,2385,1176,77,1
285,North,Grocery,376,375,6,4984,1400,59,1
286,South,Apparel,420,285,12,4475,1290,60,0
287,North,Grocery,209,380,8,1588,1569,49,1
288,East,Electronics,233,282,5,700,919,43,1
289,West,Grocery,237,213,6,4291,731,66,1
290,East,Grocery,298,480,4,4974,1939,97,0
291,East,Grocery,140,320,5,671,1331,74,1
292,North,Grocery,487,382,4,3903,1581,75,1
293,West,Grocery,126,197,7,1354,666,42,1
294,South,Grocery,308,287,13,579,1515,60,0
295,West,Grocery,435,229,7,3160,920,73,1
296,North,Apparel,243,548,11,945,1911,68,0
297,East,Grocery,462,258,1,633,935,72,1
298,West,Grocery,281,558,3,1416,1213,61,1
299,North,Apparel,431,138,10,1813,1866,91,0
300,North,Electronics,96,388,2,4461,1581,90,0
301,North,Electronics,307,42,14,504,559,42,0
302,North,Grocery,442,254,10,293,729,48,0
303,South,Electronics,305,462,6,2904,1738,59,1
304,East,Grocery,232,488,1,567,801,82,0
305,North,Electronics,144,474,2,629,1291,86,0
306,East,Apparel,427,527,10,1232,1501,96,1
307,North,Electronics,211,588,9,400,1482,78,1
308,West,Grocery,59,265,6,1188,1580,76,1
309,West,Apparel,422,226,10,3757,1188,92,1
310,South,Electronics,240,127,7,4024,847,54,1
311,South,Grocery,268,211,4,2338,880,75,1
312,North,Apparel,280,374,14,4467,600,67,0
313,South,Grocery,280,291,14,4436,1956,47,0
314,West,Grocery,161,531,6,4631,560,96,0
315,East,Grocery,429,415,13,418,652,64,0
316,North,Grocery,425,83,12,2050,593,57,0
317,North,Electronics,367,411,13,1347,1562,75,0
318,North,Grocery,310,292,10,1361,1177,60,0
319,South,Apparel,419,94,12,2034,1168,61,0
320,North,Apparel,142,193,6,3825,1367,53,1
321,West,Apparel,221,35,1,4308,1721,47,0
322,South,Apparel,77,272,3,4382,595,53,1
323,South,Electronics,64,390,4,4838,835,57,1
324,South,Electronics,61,551,4,962,679,95,1
325,East,Apparel,422,325,7,4187,1369,83,0
326,East,Grocery,157,103,1,3420,1358,80,0
327,North,Apparel,356,169,5,3297,1921,93,1
328,North,Apparel,435,311,7,2384,929,60,1
329,West,Grocery,425,460,11,2867,1170,64,0
330,West,Grocery,372,428,10,2103,1183,98,0
331,North,Grocery,478,593,7,1610,631,94,1
332,West,Electronics,317,334,7,455,1717,41,1
333,East,Electronics,326,218,13,767,1669,93,0
334,East,Apparel,281,549,3,2101,1868,62,1
335,North,Electronics,404,192,3,2000,1959,50,0
336,East,Apparel,216,572,1,794,1174,81,1
337,West,Grocery,228,386,4,1238,1336,98,1
338,East,Grocery,86,347,10,4621,1747,83,1
339,East,Apparel,189,421,10,284,660,48,0
340,South,Electronics,86,566,4,4883,1780,77,1
341,West,Grocery,111,579,12,1671,1878,48,0
342,South,Grocery,439,457,5,530,1997,75,1
343,South,Electronics,270,308,6,2970,1632,88,1
344,North,Electronics,313,266,14,496,1270,44,0
345,West,Apparel,262,227,14,4098,661,90,0
346,West,Electronics,336,426,7,3653,1595,96,1
347,South,Grocery,298,546,10,3636,753,94,0
348,East,Apparel,50,209,7,594,1079,57,1
349,North,Electronics,412,260,8,2207,1935,57,1
350,South,Apparel,284,521,12,4233,1948,98,0
351,West,Grocery,477,359,9,261,939,90,1
352,West,Grocery,271,92,4,218,1713,51,1
353,North,Grocery,466,481,9,3458,1758,91,1
354,East,Grocery,242,424,4,2942,1954,60,1
355,West,Grocery,340,292,6,832,1254,91,1
356,South,Apparel,151,87,2,3803,1873,48,1
357,West,Grocery,470,82,10,2407,1240,61,0
358,South,Grocery,395,399,9,2593,719,89,1
359,South,Apparel,288,330,14,2403,1692,67,0
360,East,Electronics,215,325,9,349,1809,89,1
361,East,Apparel,99,325,10,3235,1358,54,1
362,North,Electronics,154,143,2,3911,539,75,0
363,West,Electronics,361,525,1,1550,1240,45,0
364,North,Electronics,107,406,12,4595,1089,94,0
365,North,Grocery,194,482,6,1545,704,84,1
366,South,Grocery,166,292,14,1323,1330,67,0
367,East,Electronics,99,270,3,2477,1608,75,0
368,East,Grocery,468,476,4,4041,1836,88,1
369,North,Grocery,350,350,6,4582,846,72,1
370,North,Electronics,89,256,14,4746,992,65,0
371,West,Grocery,410,248,7,1501,1457,73,1
372,South,Electronics,290,240,4,2867,1199,55,1
373,North,Electronics,107,576,1,274,1182,95,0
374,North,Electronics,154,212,9,2621,570,58,1
375,East,Electronics,289,243,6,4726,1120,53,1
376,South,Apparel,416,176,5,4160,1029,83,0
377,West,Electronics,466,66,7,718,1547,44,1
378,East,Apparel,466,485,7,287,869,57,1
379,North,Apparel,210,241,10,2572,1165,53,1
380,South,Electronics,213,131,3,3028,1785,73,0
381,East,Electronics,295,560,2,1924,1057,70,1
382,North,Grocery,159,476,4,1595,757,45,1
383,North,Apparel,95,404,11,1897,1919,61,0
384,North,Apparel,327,533,14,1352,1305,43,0
385,West,Apparel,383,319,7,1042,1415,70,0
386,North,Grocery,455,133,7,2014,1980,75,1
387,West,Electronics,50,65,4,644,825,99,1
388,South,Apparel,68,237,7,3755,863,92,1
389,East,Electronics,109,302,4,789,1377,75,1
390,North,Apparel,201,69,2,4535,1826,98,1
391,South,Apparel,364,296,11,4862,1737,63,0
392,East,Grocery,116,243,1,875,713,69,1
393,South,Electronics,373,486,10,1030,1890,46,1
394,East,Electronics,147,413,4,2987,1592,67,1
395,East,Electronics,210,586,14,520,1813,44,0
396,South,Apparel,291,107,13,4770,1474,95,0
397,West,Apparel,93,141,1,2245,1035,83,1
398,West,Grocery,234,181,11,1611,1468,57,0
399,South,Grocery,207,403,9,3703,1143,58,1
400,South,Electronics,80,362,11,610,1183,50,0
401,East,Apparel,250,118,10,2440,1781,58,1
402,West,Apparel,256,479,14,3350,1877,42,0
403,South,Grocery,157,34,10,4689,949,69,0
404,North,Apparel,393,507,13,2719,1996,62,0
405,East,Apparel,276,471,6,644,1050,99,0
406,East,Electronics,128,120,7,602,754,97,1
407,East,Apparel,444,361,12,3366,1583,65,0
408,North,Apparel,423,374,3,4804,1344,68,0
409,East,Electronics,390,37,8,3989,1457,77,0
410,East,Apparel,219,358,4,610,1905,98,0
411,South,Electronics,469,103,13,666,1730,65,0
412,East,Electronics,97,541,3,1626,1143,50,0
413,North,Apparel,77,493,13,3749,1114,86,0
414,East,Electronics,481,112,12,2816,1099,57,0
415,North,Apparel,216,223,3,1529,1086,95,0
416,South,Grocery,303,259,9,1886,1807,41,0
417,West,Grocery,240,47,9,2055,510,54,1
418,West,Electronics,435,261,11,3527,1761,60,0
419,West,Electronics,202,151,3,1305,687,74,0
420,North,Electronics,499,326,4,2789,1974,57,1
421,East,Apparel,380,362,4,4606,1349,96,1
422,North,Apparel,313,149,7,948,1076,56,1
423,South,Electronics,377,237,13,2579,1668,98,0
424,North,Grocery,58,215,1,3026,556,99,0
425,South,Electronics,447,128,1,4070,1227,55,0
426,South,Electronics,168,109,11,2244,1661,55,0
427,North,Grocery,362,512,7,3392,742,55,1
428,West,Apparel,307,331,6,2138,1849,63,0
429,West,Grocery,446,281,5,3741,521,74,0
430,East,Electronics,437,142,4,275,551,93,1
431,East,Grocery,297,593,12,1677,1167,52,0
432,East,Electronics,287,383,13,965,1326,94,0
433,East,Apparel,112,32,14,632,1627,83,0
434,South,Electronics,241,391,9,1034,1198,56,0
435,East,Apparel,100,166,5,4416,1025,51,0
436,South,Grocery,441,537,5,594,1830,82,1
437,East,Electronics,212,260,11,777,765,57,0
438,South,Grocery,303,301,3,2931,541,80,1
439,West,Apparel,348,178,14,2066,1698,81,0
440,West,Apparel,307,583,1,3769,1920,66,1
441,North,Apparel,168,91,12,3199,901,90,0
442,North,Grocery,137,282,9,2540,1211,40,1
443,West,Apparel,254,58,7,2881,935,76,1
444,South,Apparel,334,594,13,3696,877,42,0
445,East,Electronics,399,309,8,1924,688,76,1
446,North,Electronics,156,567,9,2068,1776,42,1
447,North,Apparel,140,523,7,1718,1215,88,1
448,North,Apparel,316,487,7,2416,1721,91,0
449,South,Electronics,101,494,5,2101,545,49,0
450,South,Grocery,286,302,1,1135,1812,99,0
451,East,Electronics,156,274,1,4266,600,46,1
452,West,Apparel,357,103,6,3164,697,86,0
453,West,Grocery,68,587,5,2365,737,98,1
454,West,Electronics,387,276,14,1227,1380,81,0
455,North,Grocery,72,445,11,3434,1326,83,0
456,North,Electronics,413,485,7,3167,1011,71,0
457,South,Grocery,400,61,10,3380,559,51,0
458,West,Grocery,120,582,6,3444,1881,63,0
459,South,Electronics,71,477,9,3665,1396,45,1
460,West,Grocery,403,168,8,4473,1946,97,1
461,South,Electronics,419,567,7,3123,1585,64,1
462,West,Electronics,189,566,3,939,1192,85,1
463,South,Electronics,489,369,13,1025,1718,91,0
464,East,Grocery,286,426,3,1675,1144,41,0
465,West,Apparel,152,103,14,1173,1604,82,0
466,West,Grocery,380,105,7,3605,1555,91,0
467,East,Apparel,254,111,2,4939,1031,93,0
468,South,Grocery,426,470,6,4447,794,42,1
469,East,Grocery,331,371,2,1495,1770,93,1
470,West,Apparel,233,528,5,1119,1747,78,1
471,East,Apparel,155,370,12,3416,1687,82,0
472,South,Apparel,72,420,3,3566,1022,97,1
473,South,Electronics,475,319,10,2043,1965,96,1
474,North,Electronics,165,468,1,981,969,63,1
475,North,Apparel,493,441,9,4694,1380,68,1
476,West,Apparel,362,92,8,2967,1818,65,0
477,East,Grocery,105,595,2,647,1315,74,1
478,East,Electronics,401,395,14,1914,1717,46,0
479,West,Grocery,364,548,5,3630,731,88,0
480,West,Apparel,359,367,5,2160,1173,46,1
481,South,Electronics,300,307,7,3652,729,45,0
482,East,Apparel,278,491,4,343,1967,61,1
483,West,Apparel,188,445,9,1832,1451,70,1
484,North,Apparel,291,139,9,2368,1569,76,0
485,North,Grocery,152,435,14,547,1592,84,0
486,South,Electronics,351,198,2,565,1476,69,0
487,North,Apparel,219,95,2,3632,1473,83,0
488,North,Grocery,78,447,1,2663,850,75,1
489,South,Grocery,215,168,13,2065,1086,64,0
490,East,Grocery,313,228,5,393,655,75,1
491,West,Electronics,434,578,5,4627,1674,94,1
492,North,Electronics,220,388,1,2425,1817,44,1
493,North,Apparel,405,472,8,2426,757,70,1
494,East,Electronics,411,462,6,3022,1942,40,1
495,South,Grocery,484,158,11,3088,1805,73,0
496,West,Grocery,169,40,6,4507,1496,78,1
497,South,Electronics,453,340,10,1248,1354,58,1
498,South,Apparel,410,573,3,528,1766,47,0
499,South,Electronics,177,96,2,1736,626,92,1
500,East,Electronics,288,326,8,1304,756,67,1
501,North,Electronics,158,37,11,3801,1369,69,0
502,South,Apparel,479,415,6,633,759,52,0
503,West,Apparel,353,162,12,3217,1204,93,0
504,West,Apparel,217,248,1,2944,1763,61,1
505,West,Apparel,53,135,12,2086,1927,64,0
506,East,Electronics,184,334,2,947,1583,61,1
507,North,Apparel,333,74,9,2808,1554,45,1
508,East,Grocery,393,351,9,4178,1154,40,1
509,West,Grocery,356,136,7,3690,1613,91,0
510,North,Grocery,247,131,10,4413,1081,56,1
511,East,Electronics,84,132,2,2163,1897,49,0
512,East,Apparel,317,447,1,3516,1964,61,0
513,North,Grocery,145,131,7,1876,1508,41,0
514,South,Electronics,354,331,8,1409,1333,45,1
515,West,Grocery,408,48,4,2954,1147,76,1
516,North,Electronics,217,85,6,3192,1785,86,1
517,East,Apparel,81,491,9,4214,1785,88,0
518,North,Apparel,348,530,6,4079,1994,56,1
519,East,Apparel,279,78,10,2314,1110,94,1
520,East,Apparel,91,527,8,1921,653,41,1
521,South,Electronics,207,142,6,1937,1389,77,1
522,East,Grocery,363,562,9,4490,1244,69,1
523,East,Apparel,166,368,12,618,1919,98,0
524,North,Apparel,105,244,13,2715,732,86,0
525,West,Electronics,214,257,2,4116,1198,76,0
526,South,Apparel,398,303,7,847,1377,85,1
527,North,Grocery,388,267,3,1805,1604,93,1
528,South,Electronics,106,442,7,413,1473,84,1
529,West,Electronics,494,276,11,2826,1239,44,0
530,North,Apparel,472,315,10,1402,1472,65,0
531,South,Electronics,356,450,4,633,820,64,0
532,East,Apparel,424,547,9,4020,784,93,1
533,South,Apparel,377,502,13,3710,1637,42,0
534,South,Electronics,388,219,2,1766,1519,77,0
535,South,Apparel,81,289,5,3379,1110,72,1
536,North,Apparel,223,194,1,4826,1675,91,0
537,North,Apparel,394,452,3,2442,966,56,1
538,North,Electronics,480,581,13,765,1782,84,0
539,East,Electronics,82,553,4,1406,1780,55,0
540,North,Grocery,166,102,1,1285,668,73,1
541,East,Electronics,493,226,3,1784,783,53,1
542,South,Grocery,430,211,9,2641,1948,82,1
543,West,Apparel,419,88,13,952,1419,61,0
544,West,Apparel,257,360,5,4543,1156,64,1
545,West,Electronics,412,240,7,4392,945,88,1
546,South,Electronics,207,182,11,852,879,66,0
547,East,Apparel,463,221,2,4970,1882,43,1
548,East,Electronics,295,245,9,3582,1242,91,1
549,East,Grocery,125,543,12,3669,1209,93,0
550,East,Grocery,287,180,5,4379,1859,63,0
551,North,Grocery,61,483,6,1440,1869,88,1
552,West,Electronics,399,210,13,2724,1697,84,0
553,East,Grocery,59,465,12,4824,651,43,0
554,North,Apparel,217,596,2,679,925,89,1
555,South,Electronics,105,205,14,1993,1501,80,0
556,South,Electronics,292,151,5,1098,971,43,1
557,East,Grocery,414,553,8,2081,1097,49,0
558,West,Electronics,314,490,2,4885,906,69,1
559,South,Apparel,334,528,11,2118,964,73,0
560,North,Apparel,125,173,13,3793,1537,44,0
561,West,Grocery,329,92,5,2710,1719,66,1
562,East,Grocery,421,584,10,855,1349,94,0
563,South,Grocery,166,367,11,2275,1529,52,0
564,East,Grocery,264,426,13,2554,914,52,0
565,North,Electronics,174,227,10,1066,1058,75,1
